name.title,name.first,name.last,gender,dob,location.street,location.city,location.state,location.postcode,email,phone
mr,manuel,diaz,male,1995-07-14 03:08:52,5540 edwards rd,seattle,california,73583,manuel.diaz@example.com,(156)-645-7406
mr,rafael,barnett,male,1982-09-05 14:41:54,1197 central st,gainesville,pennsylvania,14195,rafael.barnett@example.com,(752)-959-7744
mr,herbert,scott,male,1973-05-14 06:54:12,3895 oak lawn ave,college station,kansas,87657,herbert.scott@example.com,(384)-986-2787
miss,sara,sanders,female,1991-02-26 00:05:37,2891 walnut hill ln,el monte,colorado,83543,sara.sanders@example.com,(698)-188-7359
mrs,jessie,phillips,female,1951-09-04 20:59:17,4978 e sandy lake rd,spokane,mississippi,48283,jessie.phillips@example.com,(360)-527-8221
ms,colleen,prescott,female,1963-08-26 03:56:27,7705 oak lawn ave,centennial,maine,97184,colleen.prescott@example.com,(332)-324-2072
miss,elizabeth,freeman,female,1967-05-16 02:21:09,2515 lovers ln,hampton,pennsylvania,55133,elizabeth.freeman@example.com,(951)-952-2230
ms,shelly,jordan,female,1983-08-17 00:58:11,5929 e center st,portland,connecticut,58266,shelly.jordan@example.com,(459)-045-8857
mr,bob,bates,male,1968-07-21 05:35:17,5807 brown terrace,farmers branch,south carolina,81081,bob.bates@example.com,(705)-461-6918
ms,sherry,clark,female,1973-04-03 17:38:42,7256 northaven rd,waterbury,idaho,54348,sherry.clark@example.com,(842)-040-9170
