name.title,name.first,name.last,gender,dob,location.street,location.city,location.state,location.postcode,email,phone
mrs,kelly,brewer,female,1991-10-02 02:01:49,6335 daisy dr,honolulu,wisconsin,39617,kelly.brewer@example.com,(441)-108-7839
mr,bob,bates,male,1968-07-21 05:35:17,5807 brown terrace,farmers branch,south carolina,81081,bob.bates@example.com,(705)-461-6918
mr,raymond,berry,male,1978-03-06 14:07:53,2293 mockingbird ln,visalia,south carolina,62358,raymond.berry@example.com,(090)-674-1006
miss,leah,ward,female,1958-10-08 13:19:19,9855 wheeler ridge dr,utica,north carolina,35325,leah.ward@example.com,(690)-936-7199
mr,jeremy,morris,male,1964-09-04 08:50:28,6257 homestead rd,west covina,rhode island,65659,jeremy.morris@example.com,(361)-950-7354
mr,kenneth,meyer,male,1953-10-15 21:15:55,7660 marsh ln,visalia,colorado,53660,kenneth.meyer@example.com,(252)-457-4558
ms,courtney,patterson,female,1956-11-06 01:50:24,6725 oak lawn ave,princeton,arizona,48042,courtney.patterson@example.com,(487)-058-3076
mr,matthew,taylor,male,1968-09-18 10:35:18,2179 daisy dr,thousand oaks,south carolina,22932,matthew.taylor@example.com,(017)-976-8336
mr,roberto,williamson,male,1973-05-14 18:03:50,6107 westheimer rd,west jordan,mississippi,42354,roberto.williamson@example.com,(085)-101-6398
mr,levi,horton,male,1975-11-09 14:30:56,4591 valley view ln,syracuse,tennessee,89873,levi.horton@example.com,(676)-955-9898
