name.title,name.first,name.last,gender,dob,location.street,location.city,location.state,location.postcode,email,phone
mr,dwayne,hoffman,male,1969-12-25 20:21:54,2955 wycliff ave,celina,rhode island,31748,dwayne.hoffman@example.com,(975)-672-8961
mr,clarence,shaw,male,1980-03-15 06:04:35,4502 sunset st,redding,texas,29409,clarence.shaw@example.com,(365)-713-2898
ms,edna,arnold,female,1971-11-21 20:49:48,1662 lakeview st,chula vista,virginia,84592,edna.arnold@example.com,(342)-850-1220
mrs,vivan,holmes,female,1955-12-30 05:53:28,2586 dogwood ave,fort lauderdale,california,95089,vivan.holmes@example.com,(985)-297-4162
mr,clinton,cruz,male,1945-01-19 23:14:57,9462 wycliff ave,norwalk,montana,11603,clinton.cruz@example.com,(401)-392-1144
mrs,lillian,kelley,female,1989-12-14 20:16:26,8154 edwards rd,ontario,nebraska,88026,lillian.kelley@example.com,(904)-333-7396
miss,genesis,peterson,female,1967-12-13 02:46:54,7636 cherry st,augusta,vermont,54122,genesis.peterson@example.com,(596)-729-1224
mr,jimmy,cruz,male,1961-10-24 14:58:52,3384 brown terrace,las cruces,michigan,10490,jimmy.cruz@example.com,(832)-377-7198
mr,martin,harvey,male,1983-04-27 19:39:08,1937 w gray st,sioux falls,hawaii,22258,martin.harvey@example.com,(774)-625-6074
mr,corey,ross,male,1946-06-18 18:32:44,3488 oak lawn ave,provo,oklahoma,97069,corey.ross@example.com,(066)-921-9752
