name.title,name.first,name.last,gender,dob,location.street,location.city,location.state,location.postcode,email,phone
mrs,layla,davis,female,1975-09-15 09:53:25,6112 karen dr,durham,michigan,92070,layla.davis@example.com,(000)-608-6865
mr,brennan,rhodes,male,1950-03-26 06:43:53,4320 edwards rd,gainesville,alaska,49327,brennan.rhodes@example.com,(266)-302-9236
mr,leo,walker,male,1993-09-26 10:27:52,9527 prospect rd,albuquerque,arizona,99773,leo.walker@example.com,(983)-295-9470
ms,cassandra,stevens,female,1960-12-19 16:00:35,1742 washington ave,jacksonville,arkansas,20276,cassandra.stevens@example.com,(253)-227-6891
mr,clyde,hudson,male,1992-03-16 06:50:57,2184 northaven rd,warren,alabama,24200,clyde.hudson@example.com,(578)-007-6068
mrs,gina,young,female,1948-09-01 04:24:32,6348 w gray st,laredo,tennessee,55619,gina.young@example.com,(290)-909-5240
mrs,connie,holland,female,1947-07-11 23:08:40,1633 brown terrace,los angeles,alaska,31808,connie.holland@example.com,(416)-686-3872
mr,rodney,barnett,male,1956-02-05 18:08:41,8680 walnut hill ln,lakewood,illinois,72511,rodney.barnett@example.com,(556)-579-4025
miss,jamie,wells,female,1951-09-22 19:58:06,3785 e sandy lake rd,eugene,nebraska,73706,jamie.wells@example.com,(654)-222-4131
mr,joe,thomas,male,1981-03-18 09:39:23,3040 cherry st,colorado springs,georgia,59269,joe.thomas@example.com,(786)-513-0060
