name.title,name.first,name.last,gender,dob,location.street,location.city,location.state,location.postcode,email,phone
mrs,mildred,fields,female,1995-04-16 23:16:53,2001 woodland st,amarillo,iowa,29112,mildred.fields@example.com,(235)-811-5054
mr,ivan,smith,male,1995-06-25 14:39:25,2636 e pecan st,norman,tennessee,88341,ivan.smith@example.com,(811)-806-5830
mr,danny,gibson,male,1972-01-28 01:13:27,8609 brown terrace,santa maria,new york,77944,danny.gibson@example.com,(793)-682-5979
mr,ronnie,weaver,male,1968-05-30 10:36:31,4826 ranchview dr,chattanooga,nebraska,75237,ronnie.weaver@example.com,(405)-210-4236
ms,marie,thompson,female,1983-10-28 19:35:52,3084 marsh ln,rochmond,utah,39856,marie.thompson@example.com,(040)-922-3618
ms,leona,peterson,female,1995-03-23 02:19:03,3444 shady ln dr,temecula,idaho,55687,leona.peterson@example.com,(585)-630-0977
mr,ross,elliott,male,1963-08-09 15:10:50,6799 daisy dr,alexandria,missouri,54754,ross.elliott@example.com,(207)-652-7993
miss,riley,allen,female,1988-02-06 06:21:14,2954 parker rd,atlanta,new york,67373,riley.allen@example.com,(835)-603-7393
mrs,isobel,johnson,female,1960-10-01 08:10:35,2668 w gray st,louisville,wisconsin,62790,isobel.johnson@example.com,(981)-180-2792
mr,patrick,coleman,male,1959-12-20 18:55:10,8186 sunset st,augusta,new york,75310,patrick.coleman@example.com,(802)-112-6573
