name.title,name.first,name.last,gender,dob,location.street,location.city,location.state,location.postcode,email,phone
ms,jennifer,lambert,female,1990-11-20 08:39:35,3299 wheeler ridge dr,sacramento,california,22923,jennifer.lambert@example.com,(771)-534-3929
mr,jerome,graves,male,1980-03-02 00:27:49,9243 blossom hill rd,centennial,new mexico,81684,jerome.graves@example.com,(676)-189-8327
mrs,catherine,gutierrez,female,1950-04-16 19:54:18,8104 fairview st,paterson,utah,61173,catherine.gutierrez@example.com,(683)-170-8534
ms,carole,white,female,1962-07-05 19:48:13,2468 mockingbird ln,victorville,rhode island,96593,carole.white@example.com,(000)-716-4338
ms,shannon,evans,female,1971-03-27 11:35:45,4607 sunset st,bellevue,south carolina,60445,shannon.evans@example.com,(957)-294-1287
mrs,arlene,nelson,female,1980-11-16 17:51:00,9899 james st,carrollton,florida,47023,arlene.nelson@example.com,(616)-051-7633
mr,patrick,wood,male,1969-09-19 16:00:00,9268 w belt line rd,roanoke,vermont,88465,patrick.wood@example.com,(240)-725-7405
mr,randy,nguyen,male,1967-01-10 19:50:53,2962 saddle dr,boise,georgia,52842,randy.nguyen@example.com,(503)-460-6789
mrs,patsy,warren,female,1981-03-03 19:12:02,5423 valwood pkwy,garden grove,new hampshire,41127,patsy.warren@example.com,(757)-458-9775
mrs,deann,peterson,female,1974-07-22 22:00:50,4285 e pecan st,anchorage,arkansas,46945,deann.peterson@example.com,(621)-001-9875
